codigo,codigo_produto_integracao,descricao,descr_detalhada,altura,largura,profundidade,peso_bruto,valor_unitario,ncm,quantidade_estoque,unidade,bloqueado,importado_api
TESTE02-AMA,TESTE02-AMA,PRODUTO TESTE - Cor: AMARELO - Codigo: TESTE02-AMA,,0.0,0.0,0.0,0.0,0.01,00000,1122,UN,N,S
TESTE-PRE,TESTE-PRE,TIGELA DE TESTE - Cor: PRETO - Codigo: TESTE-PRE,,0.0,0.0,0.0,0.0,0.0,00000,0,UN,N,S
P@09016-BCO,P@09016-BCO,POWER BANK  - Cor: BRANCO - Codigo: P@09016-BCO,"Power bank plástico de 10.000mAh, ideal para manter os dispositivos carregados ao longo do dia. Possui quatro cabos acoplados (USB-C, Micro USB, Lightning e USB), eliminando a necessidade de levar cabos extras. Conta com visor LED que exibe o nível de carga e suporte lateral integrado para apoiar o celular na horizontal, ótimo para vídeos ou chamadas. Acompanha alça de borracha que facilita o transporte.",14.5,6.5,2.0,0.234,62.59,00000,0,UN,N,S
P@09016-PRE,P@09016-PRE,POWER BANK  - Cor: PRETO - Codigo: P@09016-PRE,"Power bank plástico de 10.000mAh, ideal para manter os dispositivos carregados ao longo do dia. Possui quatro cabos acoplados (USB-C, Micro USB, Lightning e USB), eliminando a necessidade de levar cabos extras. Conta com visor LED que exibe o nível de carga e suporte lateral integrado para apoiar o celular na horizontal, ótimo para vídeos ou chamadas. Acompanha alça de borracha que facilita o transporte.",14.5,6.5,2.0,0.234,62.59,00000,0,UN,N,S
P@09017-BCO,P@09017-BCO,POWER BANK 10.000MAH - Cor: BRANCO - Codigo: P@09017-BCO,"Aparelhos recarregados com um power bank que combina agilidade e eficiência em um único carregador. Feito em plástico com capacidade de 10.000mAh, fornece a bateria necessária para celulares, tablets e outros aparelhos compatíveis nos momentos mais necessários. Apresenta painel com números fixos em LED para indicar o percentual de carga restante no power bank, tornando mais simples identificar o reabastecimento de carga do próprio aparelho de recarga portátil. Versátil, ele é compatível com div",14.5,6.5,2.0,0.243,64.87,00000,0,UN,N,S
P@09017-PRE,P@09017-PRE,POWER BANK 10.000MAH - Cor: PRETO - Codigo: P@09017-PRE,"Aparelhos recarregados com um power bank que combina agilidade e eficiência em um único carregador. Feito em plástico com capacidade de 10.000mAh, fornece a bateria necessária para celulares, tablets e outros aparelhos compatíveis nos momentos mais necessários. Apresenta painel com números fixos em LED para indicar o percentual de carga restante no power bank, tornando mais simples identificar o reabastecimento de carga do próprio aparelho de recarga portátil. Versátil, ele é compatível com div",14.5,6.5,2.0,0.243,64.87,00000,0,UN,N,S
O@06015,O@06015,LUMINÁRIA ARTICULÁVEL EM LED RECARREGÁVEL - Cor: BRANCO - Codigo: O@06015,"Luminária articulável em led recarregável e funcionamento touch, material plástico. Contém três estágios de iluminação com regulagem de intensidade touch: luz fria (branca), luz quente (amarela) e luz mista (branca e amarela). Base com botão para ligar e desligar. Acompanha uma bateria de lítio e cabo USB para carregamento.",40.0,12.7,0.0,0.278,27.25,00000,0,UN,N,S
15150N-ROX/PRE,15150N-ROX/PRE,NÉCESSAIRE NYLON OXFORD - Cor: ROXO - Codigo: 15150N-ROX/PRE,"Nécessaire em tecido nylon oxford, resistente a água com detalhes em couro sintético e parte interna com revestimento emborrachado, elegância e simplicidade no mesmo item. Possui um detalhe circular brilhante no couro frontal.",14.0,21.5,0.0,0.033,4.62,00000,2575,UN,N,S
15150N-BEG/PRE,15150N-BEG/PRE,NÉCESSAIRE NYLON OXFORD - Cor: BEGE - Codigo: 15150N-BEG/PRE,"Nécessaire em tecido nylon oxford, resistente a água com detalhes em couro sintético e parte interna com revestimento emborrachado, elegância e simplicidade no mesmo item. Possui um detalhe circular brilhante no couro frontal.",14.0,21.5,0.0,0.033,4.62,00000,699,UN,N,S
E@08350-BCO,E@08350-BCO,LUMINÁRIA DE TOMADA LED - Cor: BRANCO - Codigo: E@08350-BCO,"Esta luminária de tomada apresenta um design elegante e totalmente funcional, excelente para espaços domésticos como quartos, corredores e salas. Ela conta com um botão para alternar o modo de luz emitida entre o tom amarelo e o branco, adaptando-se com maestria ao ambiente. Com sua construção em plástico, voltagem de 220V e iluminação em LED, a luminária proporciona alto brilho com baixo consumo de energia no dia a dia.",9.8,4.4,0.0,0.035,9.35,00000,78,UN,N,S
05044-RX1,05044-RX1,GUARDA-CHUVA AUTOMÁTICO - Cor: ROXO - Codigo: 05044-RX1,"Guarda-chuva automático de nylon com impacto impermeável e proteção UV, tecido interno em vinil. Com estrutura em aço e 8 varetas em fibra de vidro, possui pegador plástico com botão de ação e alça de nylon. Acompanha capa protetora.",0.0,0.0,0.0,0.0,23.37,00000,939,UN,N,S
15218-AZU,15218-AZU,BOLSA TÉRMICA 16 LITROS - Cor: AZUL - Codigo: 15218-AZU,"Mantenha tudo trincando e fresco com a nossa Bolsa Térmica de 16 litros. Produzida em poliéster e com revestimento térmico em PEVA atóxico, ela conta com uma estrutura soldada antivazamento, garantindo praticidade e segurança. Perfeita para festas, eventos e momentos de lazer, ela ainda traz um bolso frontal para acomodar guardanapos, talheres e outros itens essenciais. Para mais conforto no transporte, a alça é ajustável, se adaptando à sua necessidade. Uma aliada indispensável para quem ama tudo fresquinho e conservado.",0.0,0.0,0.0,0.0,47.88,00000,350,UN,N,S
